url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/ImageExpansionTypography/,H2,1811353.6,490,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ImageExpansionTypography/,H2,1811353.6,490,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ImageExpansionTypography/,H2,1811353.6,490,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ImageExpansionTypography/,H2,1419509.76,384,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ImageExpansionTypography/,H2,1419509.76,384,60.8px,"rgb(255, 255, 255)",auto,auto,Coconat,400,normal,66.88px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/HoverGrid/,H2,177187.5,14,112.5px,"rgb(255, 255, 255)",auto,auto,"Onest, sans-serif",400,normal,112.5px,normal,0px,start,"none solid rgb(255, 255, 255)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
